Calibration (sys),Calibration (gyro),Calibration (accel),Calibration (mag),Roll [deg],Pitch [deg],Yaw [deg],Angular velocity (x),Angular velocity (y),Angular velocity (z),Linear acceleration (x),Linear acceleration (y),Linear acceleration (z),Acceleration (x),Acceleration (y),Acceleration (z),Gravity (x),Gravity (y),Gravity (z),Magnetometer (x),Magnetometer (y),Magnetometer (z),Quaternion (w),Quaternion (x),Quaternion (y),Quaternion (z),Pressure [Pa],Temperature [K],Altitude [m],Time [s]
calibration_sys,calibration_gyro,calibration_accel,calibration_mag,orientation_x,orientation_y,orientation_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,acceleration_x,acceleration_y,acceleration_z,gravity_x,gravity_y,gravity_z,magnetometer_x,magnetometer_y,magnetometer_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,pressure,temperature,altitude,timestamp
3,3,3,3,-1.4955,-5.5789,-142.4968,0.0689,-0.0241,0.0000,0.1375,1.4051,56.5324,0.1126,2.3575,46.7786,-0.0249,0.9524,-9.7538,-15.0552,-16.5281,-38.1161,0.308714,-0.016244,0.045875,-0.949909,98496.43,280.95,301.59,0.8571
3,3,3,3,-1.9689,-5.4600,-142.0212,0.0779,-0.0274,0.0000,0.1343,1.3913,56.5171,0.1022,2.3232,46.7613,-0.0320,0.9320,-9.7558,-15.0832,-16.6080,-38.0702,0.308748,-0.016270,0.044765,-0.949951,98480.87,280.96,302.88,0.8857
3,3,3,3,-2.5274,-5.3272,-141.4603,0.0867,-0.0306,0.0000,0.1291,1.3716,56.5007,0.0890,2.2806,46.7428,-0.0401,0.9090,-9.7579,-15.1147,-16.6975,-38.0185,0.308785,-0.016300,0.043520,-0.949996,98464.76,280.97,304.23,0.9143
3,3,3,3,-3.1806,-5.1812,-140.8043,0.0951,-0.0338,0.0000,0.1217,1.3455,56.4832,0.0726,2.2291,46.7230,-0.0491,0.8837,-9.7602,-15.1497,-16.7961,-37.9611,0.308826,-0.016336,0.042144,-0.950044,98448.11,280.98,305.62,0.9429
3,3,3,3,-3.9398,-5.0228,-140.0421,0.1031,-0.0368,-0.0000,0.1121,1.3131,56.4646,0.0532,2.1691,46.7021,-0.0590,0.8560,-9.7626,-15.1879,-16.9036,-37.8980,0.308870,-0.016378,0.040642,-0.950094,98430.90,280.99,307.06,0.9714
3,3,3,3,-4.8179,-4.8532,-139.1607,0.1106,-0.0397,-0.0000,0.1002,1.2739,56.4451,0.0305,2.1000,46.6800,-0.0696,0.8262,-9.7651,-15.2294,-17.0192,-37.8295,0.308917,-0.016427,0.039023,-0.950146,98413.15,281.00,308.54,1.0000
3,3,3,3,-5.8299,-4.6735,-138.1452,0.1174,-0.0425,-0.0000,0.0858,1.2278,56.4245,0.0047,2.0222,46.6569,-0.0811,0.7944,-9.7676,-15.2737,-17.1423,-37.7560,0.308966,-0.016481,0.037294,-0.950199,98394.85,281.01,310.07,1.0286
3,3,3,3,-6.9930,-4.4855,-136.9783,0.1235,-0.0450,-0.0000,0.0689,1.1751,56.4038,-0.0244,1.9358,46.6336,-0.0933,0.7607,-9.7702,-15.3209,-17.2721,-37.6776,0.309018,-0.016543,0.035465,-0.950251,98376.00,281.02,311.65,1.0571
3,3,3,3,-8.3266,-4.2908,-135.6409,0.1287,-0.0472,-0.0000,0.0495,1.1153,56.4482,-0.0567,1.8408,46.6755,-0.1062,0.7255,-9.7727,-15.3704,-17.4078,-37.5948,0.309070,-0.016612,0.033548,-0.950302,98356.60,281.03,313.27,1.0857
3,3,3,3,-9.8522,-4.0916,-134.1112,0.1331,-0.0492,-0.0000,0.0277,1.0491,56.5342,-0.0919,1.7380,46.7590,-0.1196,0.6889,-9.7752,-15.4221,-17.5483,-37.5082,0.309124,-0.016688,0.031557,-0.950352,98336.66,281.05,314.93,1.1143
