# Atlas_v1.0 (Up to date)
# 1120 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (26.1 m/s):  "main"
#
# Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
# Event SIM_WARN occurred at t=130.958 seconds: Recovery device deployment at high speed (26.1 m/s):  "main"
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=130.958 seconds
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
